Test No., Merge Sort (ms), Hybrid Merge Sort (ms)
500, 0.257881, 0.200681
600, 0.36789, 0.25435
700, 0.305339, 0.346689
800, 0.58169, 0.57023
900, 0.54997, 0.57821
1000, 0.52093, 0.44759
1100, 0.5869, 0.56744
1200, 0.60812, 0.63302
1300, 0.70799, 0.65513
1400, 0.70889, 0.68938
1500, 0.772601, 0.739039
1600, 0.831251, 0.798391
1700, 0.90284, 0.848331
1800, 0.93881, 0.90884
1900, 1.0006, 0.95743
2000, 1.05634, 1.0264
2100, 1.69062, 1.61483
2200, 1.79793, 1.6837
2300, 1.87972, 1.24868
2400, 1.39084, 1.34182
2500, 1.51439, 1.57015
2600, 1.53796, 1.45612
2700, 1.5706, 1.5017
2800, 1.58206, 1.53184
2900, 1.64654, 1.56932
3000, 1.71666, 1.62222
3100, 1.7754, 2.50552
3200, 2.7424, 2.61736
3300, 2.65983, 1.93777
3400, 2.93763, 2.10121
3500, 2.19447, 1.92592
3600, 2.04493, 1.98645
3700, 2.11369, 2.03848
3800, 2.18416, 2.10024
3900, 3.34465, 3.19895
4000, 2.72912, 2.42621
4100, 2.92633, 2.50173
4200, 2.85727, 2.54653
4300, 2.9267, 2.45514
4400, 2.58132, 2.61196
4500, 3.98831, 3.75344
4600, 3.19586, 3.09507
4700, 2.9212, 2.93951
4800, 3.24446, 2.74759
4900, 2.92237, 2.81557
5000, 3.02906, 2.85237
5100, 4.03021, 3.44794
5200, 3.44143, 3.28123
5300, 3.35914, 3.14952
5400, 3.23374, 3.09154
5500, 3.29588, 3.14431
5600, 3.98548, 3.59192
5700, 3.68275, 3.43908
5800, 3.73549, 3.39702
5900, 3.86512, 3.49277
6000, 3.67538, 4.10895
6100, 4.29783, 3.86466
6200, 4.09013, 3.64598
6300, 3.88277, 3.74779
6400, 3.9231, 3.82983
6500, 5.24697, 4.22117
6600, 4.37337, 4.18847
6700, 4.12111, 4.24567
6800, 4.14108, 4.21132
6900, 4.73484, 4.62289
7000, 4.33476, 4.21941
7100, 4.40491, 4.26354
7200, 4.52075, 4.65605
7300, 4.88703, 4.38264
7400, 4.87297, 4.40988
7500, 5.44307, 5.15511
7600, 5.12744, 5.01824
7700, 4.78728, 4.63234
7800, 4.84651, 4.73458
7900, 5.44337, 4.79036
8000, 5.0259, 4.84471
8100, 5.0366, 4.84448
8200, 6.61361, 5.53198
8300, 5.30437, 5.11886
8400, 5.39886, 5.14546
8500, 6.66214, 6.15882
8600, 5.49208, 5.35277
8700, 5.60527, 5.37369
8800, 6.66576, 5.77667
8900, 6.48045, 5.71011
9000, 5.76417, 5.74232
9100, 6.21027, 5.99626
9200, 6.27521, 5.69611
9300, 5.89873, 6.22063
9400, 7.69346, 5.8301
9500, 6.08044, 5.86485
9600, 8.76634, 6.3099
9700, 6.3651, 6.01984
9800, 6.24757, 7.29583
9900, 6.55189, 6.517
10000, 6.42836, 6.1913
