Test No., Merge Sort (ms), Hybrid Merge Sort (ms)
500, 0.080491, 0.205949
600, 0.085389, 0.28633
700, 0.085431, 0.343461
800, 0.127149, 0.54253
900, 0.15635, 0.59476
1000, 0.12314, 0.54213
1100, 0.14251, 0.62495
1200, 0.19713, 0.59229
1300, 0.1841, 0.66372
1400, 0.18657, 0.69102
1500, 0.20809, 0.756721
1600, 0.221471, 0.795141
1700, 0.238849, 0.88097
1800, 0.24603, 0.91729
1900, 0.25289, 0.96295
2000, 0.30458, 1.01238
2100, 0.40001, 1.59939
2200, 0.41449, 1.68647
2300, 0.46107, 1.25148
2400, 0.37581, 1.31022
2500, 0.37351, 1.54386
2600, 0.4153, 1.52489
2700, 0.417161, 1.46946
2800, 0.44757, 1.53485
2900, 0.41291, 1.58379
3000, 0.45368, 1.64708
3100, 0.476499, 2.2996
3200, 0.64183, 2.62712
3300, 0.670641, 2.36489
3400, 0.73047, 1.8945
3500, 0.58072, 1.91556
3600, 0.56451, 1.97816
3700, 0.60572, 2.0564
3800, 0.57067, 2.0924
3900, 0.841331, 3.16573
4000, 0.82662, 2.43246
4100, 0.78215, 2.40478
4200, 0.68888, 2.51281
4300, 0.7777, 2.46748
4400, 0.73259, 2.4876
4500, 0.99874, 3.80329
4600, 0.831019, 3.43784
4700, 0.8128, 2.77089
4800, 0.860119, 2.95706
4900, 0.7866, 2.77734
5000, 0.796209, 2.87694
5100, 0.96727, 3.70514
5200, 0.965489, 3.26155
5300, 0.94127, 3.26543
5400, 0.85372, 3.08465
5500, 0.90405, 3.1579
5600, 1.195, 3.60811
5700, 0.96997, 3.43715
5800, 0.96748, 3.40699
5900, 1.03459, 3.47164
6000, 1.02115, 3.53292
6100, 1.07339, 3.87297
6200, 1.1426, 3.65971
6300, 0.97988, 3.7182
6400, 1.07003, 3.77288
6500, 1.16468, 4.46986
6600, 1.17834, 4.18884
6700, 1.09573, 3.98247
6800, 1.16824, 4.05034
6900, 1.42927, 4.35258
7000, 1.17729, 4.21242
7100, 1.30709, 4.28864
7200, 1.3661, 5.23683
7300, 1.40957, 4.70872
7400, 1.36059, 4.41433
7500, 1.46533, 5.27364
7600, 1.69055, 5.26358
7700, 1.33003, 4.63644
7800, 1.3112, 4.68415
7900, 1.51952, 5.02813
8000, 1.3676, 4.79777
8100, 1.39003, 4.87333
8200, 1.49064, 6.21733
8300, 1.38749, 5.12417
8400, 1.42473, 5.16567
8500, 1.6525, 6.84743
8600, 1.56406, 5.29916
8700, 1.52061, 5.37964
8800, 2.29289, 5.73405
8900, 1.79059, 5.92344
9000, 1.60448, 5.56575
9100, 1.78562, 6.03869
9200, 1.65009, 5.6663
9300, 1.68114, 6.65375
9400, 1.93217, 5.86207
9500, 1.68902, 5.9162
9600, 1.93986, 6.63958
9700, 1.67842, 6.04872
9800, 1.67035, 6.24457
9900, 1.81201, 6.38267
10000, 1.76018, 6.23366
