Test No., Merge Sort (ms), Hybrid Merge Sort (ms)
500, 0.18596, 0.296331
600, 0.400929, 0.31456
700, 0.35088, 0.4568
800, 0.55181, 0.53623
900, 0.60444, 0.49333
1000, 0.45643, 0.49796
1100, 0.68304, 0.53581
1200, 0.62146, 0.58001
1300, 0.62682, 0.62461
1400, 0.68346, 0.66304
1500, 0.755329, 0.74349
1600, 0.802041, 0.79943
1700, 0.8789, 0.855619
1800, 0.90957, 0.90175
1900, 0.96495, 0.96266
2000, 0.96205, 1.01087
2100, 1.62363, 1.61971
2200, 1.70541, 1.71343
2300, 1.79397, 1.22289
2400, 1.41166, 1.41602
2500, 1.36131, 1.45874
2600, 1.50527, 1.49432
2700, 1.47637, 1.44552
2800, 1.5466, 1.52105
2900, 1.90487, 1.59239
3000, 1.65106, 1.64116
3100, 1.71922, 2.51946
3200, 2.59546, 2.60555
3300, 2.15327, 2.77967
3400, 2.06494, 2.06917
3500, 2.03797, 1.9354
3600, 1.98092, 1.96914
3700, 2.0397, 2.03244
3800, 2.12421, 2.82695
3900, 3.18283, 3.17402
4000, 2.36594, 2.54401
4100, 2.4166, 2.41719
4200, 4.47828, 2.4616
4300, 3.2357, 2.43196
4400, 2.48697, 3.68342
4500, 3.78823, 3.11867
4600, 3.89638, 2.886
4700, 2.75624, 2.99662
4800, 3.07777, 2.73155
4900, 2.80193, 2.99047
5000, 3.55312, 2.91973
5100, 3.42419, 3.37367
5200, 3.28405, 3.26491
5300, 3.24098, 3.08896
5400, 3.10593, 3.09716
5500, 3.15131, 3.2066
5600, 3.73036, 3.48181
5700, 3.51092, 3.30262
5800, 3.39493, 3.38891
5900, 3.4894, 3.47575
6000, 3.52949, 4.14606
6100, 3.78358, 3.74482
6200, 3.88595, 3.63931
6300, 3.70963, 3.71327
6400, 3.76814, 3.98668
6500, 5.23411, 4.41906
6600, 4.17997, 4.06475
6700, 3.92372, 3.94717
6800, 4.01426, 4.38449
6900, 4.7088, 4.44118
7000, 4.20675, 4.23093
7100, 4.26584, 4.2627
7200, 4.46445, 4.64954
7300, 4.80863, 4.37961
7400, 14.9834, 4.45014
7500, 4.52531, 4.93128
7600, 5.75189, 4.57489
7700, 4.66075, 4.65074
7800, 4.70803, 5.40718
7900, 5.69678, 4.73769
8000, 4.80393, 4.82798
8100, 4.88543, 4.87564
8200, 6.44619, 6.22734
8300, 5.15321, 5.12452
8400, 5.18787, 5.19311
8500, 6.2587, 5.24635
8600, 5.33699, 5.34034
8700, 5.40029, 5.40283
8800, 6.12939, 5.78071
8900, 5.96473, 5.52626
9000, 5.55067, 8.05843
9100, 5.97172, 6.02234
9200, 5.94184, 5.66722
9300, 6.17004, 6.17924
9400, 5.89299, 5.85727
9500, 5.97514, 5.90259
9600, 7.39481, 6.26515
9700, 6.07326, 6.05058
9800, 6.07585, 7.00766
9900, 6.67515, 6.32035
10000, 6.2086, 6.19602
